Date,Price,Open,High,Low,Vol.,Change %
27/02/2015,34.21,34.21,34.21,34.21,505210.0,-0.0084
27/02/2015,0.75,0.77,0.75,0.75,1820000.0,0.0135
27/02/2015,30103.81,30045.56,30154.53,29906.91,,0.0019
27/02/2015,123.5,125.0,125.0,120.0,118500.0,0.004
27/02/2015,153.0,153.0,153.0,153.0,559940.0,-0.0033
02/03/2015,153.0,153.0,154.0,153.0,858470.0,0.0
02/03/2015,815.0,815.0,815.0,815.0,306080.0,-0.0060999999999999
02/03/2015,0.76,0.77,0.78,0.76,761960.0,0.0133
02/03/2015,114.4,112.8,114.4,112.0,5330000.0,0.0214
02/03/2015,122.0,127.99,122.0,122.0,75410.0,-0.0121
02/03/2015,17.85,17.6,17.99,17.6,20340000.0,0.0141999999999999
